Provider,DataSource,Title,Lines,Start,End,Link,aiSummary
מטרופולין,scan-export,[קווי אלעד] שינויים בתחבורה הציבורית במהלך חג פסח- קווי אלעד 30.03.2026,"176, 180, 280, 281, 453, 577",—,—,https://www.metropoline.com/updates,
מטרופולין,scan-export,[קווי אלעד] קו 279: שינוי במסלול הקו עקב סיום עבודות 26.03.2026,279,—,—,https://www.metropoline.com/updates,
מטרופולין,scan-export,[קווי אלעד] שינויים בלוחות הזמנים בשל מעבר לשעון קיץ 26.03.2026,277,—,—,https://www.metropoline.com/updates,
מטרופולין,scan-export,[קווי אלעד] קו 280: שינוי במסלול הקו 22.03.2026,280,—,—,https://www.metropoline.com/updates,
מטרופולין,scan-export,[קווי הדרום והמרכז] שינויים בתבחורה הציבורית במהלך חג הפסח- קווי הדרום 30.03.2026,"120, 15, 375, 5, 660, 682, 684, 687, 688, 74",—,—,https://www.metropoline.com/updates,
מטרופולין,scan-export,[קווים למוסדות חינוך] שינויים בתבחורה הציבורית במהלך חג הפסח- קווי הדרום 30.03.2026,80,—,—,https://www.metropoline.com/updates,
מטרופולין,scan-export,"[קווי לילה] קווים 26, 48, 56, 608: העתקת תחנה למיקום חדש 29.03.2026",56,—,—,https://www.metropoline.com/updates,
מטרופולין,scan-export,"[קווי לילה] קווים 138, 139: שינוי במסלולי הקווים 10.11.2025",138,—,—,https://www.metropoline.com/updates,
מטרופולין,scan-export,[קווי השרון והמרכז] עבודות תשתית ברחוב רוזנפלד בתל אביב 05.04.2026,"12, 572",—,—,https://www.metropoline.com/updates,
מטרופולין,scan-export,[קווי השרון והמרכז] שינויים בתחבורה הציבורית במהלך חג הפסח- קווי אונו 30.03.2026,"398, 445, 446",—,—,https://www.metropoline.com/updates,
מטרופולין,scan-export,"[קווי השרון והמרכז] קווים 26, 48, 56, 608: העתקת תחנה למיקום חדש 29.03.2026","56, 608",—,—,https://www.metropoline.com/updates,
מטרופולין,scan-export,"[קווי השרון והמרכז] קווים 1, 11, 15, 18, 36, 59, 76, 77, 78, 236: שינויים במסלולי הקווים בשל הסטה למסוף אור יהודה החדש 26.03.2026","1, 15, 18, 236, 59, 76, 77, 78",—,—,https://www.metropoline.com/updates,
מטרופולין,scan-export,[קווי השרון והמרכז] שינויים בלוחות הזמנים בשל מעבר לשעון קיץ 26.03.2026,12,—,—,https://www.metropoline.com/updates,
מטרופולין,scan-export,[קווי השרון והמרכז] קו 75: שינוי מסלול בפתח תקווה 22.03.2026,75,—,—,https://www.metropoline.com/updates,
מטרופולין,scan-export,"[קווי השרון והמרכז] קווים 37, 59, 69, 256, 531: שינויים במסלולי הקווים (מסוף סבידור) 16.03.2026","256, 37, 531",—,—,https://www.metropoline.com/updates,
מטרופולין,scan-export,"[קווי השרון והמרכז] קווים 138, 139: שינוי במסלולי הקווים 10.11.2025","138, 139",—,—,https://www.metropoline.com/updates,
