מפעיל,מקור נתונים,כותרת,קווים,תאריך התחלה,תאריך סיום,קישור,תוכן מלא,סיכום AI
קווים,scan-export,"זמני נסיעות לחג הפסח תשפ""ו - ביתר עילית",—,01.04.26,01.04.26,https://www.kavim-t.com/passenger-information/traffic-updates/beitar-updates/310320260,"נוסעים נכבדים, לרגל חג הפסח תשפ""ו הבעל""ט, שונו לוחות זמני הנסיעות בסניף ביתר יש להתעדכן בלוחות הזמנים המעודכנים באתר.בברכת נסיעה טובה ובטוחה,הנהלת קווים.","עקב שינוי תנועה ביתר עילית נוסעים נכבדים, קיים שינוי במסלול קווים נבחרים ביום שישי, 01 באפריל ועד יום שישי, 01 באפריל"
קווים,scan-export,ביטול קו 238 עקב סגירת קבר רחל,"238 — ביתר עילית, ירושלים, 238 — ירושלים, ביתר עילית",25.03.26,25.03.26,https://www.kavim-t.com/passenger-information/traffic-updates/beitar-updates/29032026,"נוסעים נכבדים,בעקבות סגירת קבר רחל קו 238 מבוטל מיום ד' 25/03.2026 ועד להודעה חדשה. בברכת נסיעה טובה ובטוחה,הנהלת קווים.","עקב סגירת כביש ביטול קו 238 בירושלים, קיים שינוי במסלול הקווים 238 — ביתר עילית, 238 — ירושלים, ו-238 מיום חמישי, 25 במרץ ועד להודעה חדשה"
קווים,scan-export,שינויים בתחנות בקו 239,"239 — ביתר עילית, ירושלים, 239 — ירושלים, ביתר עילית",27.03.26,27.03.26,https://www.kavim-t.com/passenger-information/traffic-updates/beitar-updates/26032026,"נוסעים נכבדים,החל מיום שישי ט' בניסן תשפ""ו, 27.03.2026שינויים בתחנות בקו 239, כדלהלן:מכיוון ביתר: תחנה חדשה - דרך חברון/אשר וינר (511) 'הורדה בלבד'. תחנה מבוטלת: דרך חברון/ברעם (1846)מכיוון ירושלים: תחנה חדשה - דרך חברון/האומן (6090) 'איסוף בלבד'. תחנה מבוטלת: דרך חברון/ברעם (1847)בברכת נסיעה טובה ובטוחה,הנהלת קווים.","עקב שינוי תנועה בירושלים, קיים שינוי במסלול קווים נבחרים ביום שישי, 27 במרץ, 2026 בין השעות 00:00 ועד 23:59"
קווים,scan-export,שינויים בתחנת סיום בקווים 226-239-246 מכיוון ביתר לירושלים,"226 — ביתר עילית, ירושלים, 226 — ירושלים, ביתר עילית, 246 — ירושלים, ביתר עילית, 239 — מודיעין עילית, בני ברק, 239 — בני ברק, מודיעין עילית, 246 — ביתר עילית, ירושלים",15.03.26,15.03.26,https://www.kavim-t.com/passenger-information/traffic-updates/beitar-updates/12032026,"נוסעים נכבדים,החל מיום ראשון 15.03.2026, מהשעה 10:00 בבוקריחולו שינויים בתחנת סיום בקווים 226,239,246 מכיוון ביתר לירושלים, כדלהלןהחזרת התחנה המקורית: 9807 גבעת התחמושת/שרגאי. ביטול התחנה החלופית: 1927 שדרות אשכול/בר לב.בברכת נסיעה טובה ובטוחה,הנהלת קווים.","עקב שינוי תנועה בירושלים, קיים שינוי במסלול קווים נבחרים לכיוון ביתר לירושלים נוסעים נכבדים ביום ראשון, 15 במרץ, בין השעות 10:00 ועד שעה לא ידועה"
קווים,scan-export,"ביתר עילית- זמני נסיעות לימי שישי ומוצ""ש",—,06.03.26,06.03.26,https://www.kavim-t.com/passenger-information/traffic-updates/beitar-updates/05032026,"נוסעים נכבדים,מצ""ב זמני נסיעות ליום שישי ומוצ''ש, י""ז-י""ח באדר תשפ""ו 06-07.03.26 - ביתר עיליתלקווים: 1/2/3/4/5/6/7/8/290/292/296/226/246בברכת נסיעה טובה ובטוחה,הנהלת קווים.","עקב שינוי תנועה ברחוב ביתר, קיים שינוי במסלול קווים נבחרים בין השעות ועד ביום שישי, 17 באדר תשפ""ו ובמוצ""ש, 18 באדר תשפ""ו 06-070326"
קווים,scan-export,"זמני נסיעות עדכניים לחג הפסח תשפ""ו - מודיעין עילית",—,01.04.26,01.04.26,https://www.kavim-t.com/passenger-information/traffic-updates/hashmonaim-updates/31032026,"נוסעים נכבדים,לרגל חג הפסח תשפ""ו הבעל""ט, שונו לוחות זמני הנסיעות בסניף מודיעין עיליתיש להתעדכן בלוחות הזמנים המעודכנים באתר.בברכת נסיעה טובה ובטוחה,הנהלת קווים.","עקב שינוי תנועה במודיעין, קיים שינוי במסלול קווים נבחרים ביום שישי, 26 באפריל בין השעות 00:00 ועד 23:59"
קווים,scan-export,"תל אביב, עבודות תשתית רוזנפלד במקטע ג'ורג' ווייז - חיים לבנון לשני הכיוונים, 05-07.04.2026","474 — לוד, תל אביב יפו, 474 — תל אביב יפו, לוד, 464 — לוד, תל אביב יפו, 464 — תל אביב יפו, לוד, 506 — שוהם, תל אביב יפו, 506 — תל אביב יפו, שוהם, 450 — רמלה, תל אביב יפו, 450 — תל אביב יפו, רמלה, 107 — מודיעין מכבים רעות, תל אביב יפו, 107 — תל אביב יפו, מודיעין מכבים רעות",05.04.26,05.04.26,https://www.kavim-t.com/passenger-information/traffic-updates/hashmonaim-updates/update_13999539303,"נוסעים נכבדים, החל מיום ראשון 05.04.2026 בתחילת השירות ועד יום שלישי 07.04 סמוך לכניסת החג יסגר רחוב רוזנפלד במקטע ג'ורג' ווייז - חיים לבנון לשני הכיוונים. אי לכך, קווים: 107/450/464/474/506 ישנו את מסלולם. השינוי להלן: הקווים בכיוון צפון: ממשיכים על חיים לבנון ישר, ימינה קלצ'קין ומקצרים למסוף הקווים בכיוון דרום: יוצאים ממסוף קלצ'קין שמאלה ושוב שמאלה לחיים לבנון בלי לעבור בקלאוזנר, המשך למסלול בחיים לבנון. תחנות מבוטלות: 20482 ← ביה''ס לרפואה/קלצ'קין 20138 ← מוזאון העם היהודי/קלאוזנר 20137 ← מוזאון העם היהודי/קלאוזנר 21665 ← הפקולטה להנדסה/קלאוזנר 20794 ← ד''ר ג'ורג' וייז/שלום רוזנפלד 20503 ← ביה''ס לרפואה/קלצ'קין 25075 ← הפקולטה להנדסה/ד''ר ג'ורג' וויז 21734 ← מדעי החיים/קלאוזנר תחנות חלופיות: 27065 ← האוניברסיטה/חיים לבנון 21469 ← חיים לבנון/ד''ר ג'ורג' וויז 21385 ← מכון התקנים/חיים לבנון 21498 ← מכון התקנים/חיים לבנון 21388 ← האוניברסיטה/חיים לבנון 21387 ← חיים לבנון/ד''ר ג'ורג' וויז בברכת נסיעה טובה ובטוחה, הנהלת קווים.","עקב עבודות תשתית ברחוב רוזנפלד בתל אביב, קיים שינוי במסלול קווים נבחרים לכיוון צפון ממשיכים על חיים לבנון ישר בין התאריכים 050426 — 070426"
קווים,scan-export,"מודיעין- עבודות ברחוב עמק איילון, שינויים בקווים: 51/53/54/58/33",—,12.04.26,12.04.26,https://www.kavim-t.com/passenger-information/traffic-updates/hashmonaim-updates/27032026,"נוסעים נכבדים,החל מיום ראשון 12.04.2026 בשעה 09:00 ועד יום שישי 17.04.2026 בשעה 09:00 יתקיימו עבודות במודיעין ברחוב עמק איילון מפיקוס (לא כולל הצומת) עד לצ. אלמוגן/איילון (כולל הצומת). קו 51 ממסוף עירוני: מתחנת המוצא עד לתחנה 35052 תלתן/משה סנה משם ישר ברמזור ימינה לערער שמאלה לרכבת ולכיכר התעבורה משם יש לצאת ללב העיר ברמזור שמאלה לדותן לתחנה 35006 דותן/עיון והמשך מסלולתחנות מבוטלות:1. 35004 -לבונה/פיקוס2. 35005 -לבונה/לימוןתחנות חלופיות:1. 34155 -איילון/תלתן2. 33093 -רכבת מרכזקו 51 מתחנה מרכזית מודיעין: מתחנת המוצא עד לתחנה 34139 כליל החורש/דותן משם יש להמשיך ישר עד לרמזור ימינה לערער ימינה לפיקוס לתחנה 34154 תלתן /איילון והמשך מסלולתחנות מבוטלות:1. 34140 -דותן/לבונה2. 34141 -לבונה /אלמוגן3. 34142 -איילון/לבונה4. 31632 -חרצית /איילוןתחנות חלופיות:1. 34095 -דותן/לבונה2. 35014 -ערער/דותןקו 53 מבי""ס כרמים/עמק חרוד: מתחנת המוצא עד לתחנה 35052 תלתן/משה סנה משם ישר לתחנה 34155 איילון/תלתן והמשך מסלולתחנות מבוטלות:1. 34142 -איילון/לבונה2. 35003 -איילון/חרציתקו 53 מיצחק רבין/נחל צלמון: מתחנת המוצא עד תחנה 35014 ערער /דותן משם ימינה לפיקוס וישר לתחנה 34154 תלתן איילון והמשך מסלולתחנות מבוטלות:1. 34142 -איילון/לבונה2. 31632 -חרצית/איילוןקו 54 מבי""ס כרמים/עמק חרוד: מתחנת המוצא עד לתחנה 35003 איילון/חרצית משם יש לפנות שמאלה לתלתן ברמזור ימינה לתחנה 35177 קניון עזריאלי והמשך מסלולתחנות מבוטלות:1. 35004 -לבונה/פיקוס2. 35005 -לבונה/לימון3. 34095 -דותן/לבונה4. 35014 -ערער/דותןתחנה חלופית:1. 34155 -איילון/תלתןקו 54 מהדרים: מתחנת המוצא עד לתחנה 34139 כליל החורש/דותן משם ישר עד לרמזור ואז ימינה לערער ימינה לתלתן שם יש לפנות ימינה לדפנה שמאלה לחרצית והמשך מסלולתחנות מבוטלות:1. 34140 -דותן/לבונה2. 34141 -לבונה/אלמוגן3. 34142 -איילון/לבונה4. 31632 -חרצית/איילוןתחנות חלופיות:1. 34095 -דותן/לבונה2. 35014 -ערער/דותן3. 34154 -תלתן/איילון4. 34187 -תלתן/לוע האריקו 58 מדרך מנחם בגין/מסוף: מתחנת המוצא עד תחנה 35014 ערער/דותן משם ימינה לתלתן עד לכיכר ימינה לדם המכבים תחנה 34172 דם המכבים/החשמונאים והמשך מסלולתחנות מבוטלות:1. 34142 -איילון/לבונה2. 34175 -איילון/אלמוגן3. 35049 -איילון/כליל החורש4. 35050 -צאלון/שיר השיריםתחנות חלופיות:1. 34154 -תלתן/איילון2. 34187 -תלתן/לוע הארי3. 34149 -דם המכבים/חרציתקו 33 -מתחנת המוצא עד לתחנה 35034 משה דיין/בית שאן ומסיים בתחנת הקצה בעיריה תחנות מבוטלות:1. 35054 -דם המכבים/תלתן2. 35052 -תלתן /סנה3. 34142 -איילון/לבונה4. 34175 -איילון/אלמוגן5. 35049 -איילון/כליל החורש6. 35050 -צאלון/שיר השירים7. 35051 -דם המכבים/צאלוןבברכת נסיעה טובה ובטוחה,הנהלת קווים.","עקב עבודות ברחוב עמק במודיעין, קיים שינוי במסלול קווים נבחרים ביום ראשון, 12 באפריל 2026 בין השעות 09:00 ועד 09:00 ביום שישי, 17 באפריל 2026"
קווים,scan-export,"תל אביב, עבודות תשתית, רחוב שלום רוזנפלד 23-26.03 + 29-31.03 + 01-02.04 + 05.04","506 — שוהם, תל אביב יפו, 506 — תל אביב יפו, שוהם",23.03.26,23.03.26,https://www.kavim-t.com/passenger-information/traffic-updates/hashmonaim-updates/update_13987154589,"נוסעים נכבדים, בלילות ראשון עד חמישי 23-26.03 + 29-31.03 + 01-02.04 + 05.04 החל מהשעה 20:00 ועד 05:00 למחרת, יתקיימו עבודות תשתית ברחוב שלום רוזנפלד בשני הכיוונים בעיר תל אביב. קו מושפע: 506 בשני הכיוונים. השינויים להלן: קו 506 לכיוון ת""א: מדרך נמיר ימינה לשדרות רוקח, שמאלה לירוחם משל, ישר ג'ורג' וויז והמשך מסלול. תחנות מבוטלות: 21613 - סמינר הקיבוצים/חיים לבנון 21460 - מוזאון ארץ ישראל/חיים לבנון 21750 - מכון הנפט/חיים לבנון 21235 - קמפוס ברושים/שלום רוזנפלד קו 506 לכיוון לשוהם: מג'ורג' וויז ישר לירוחם משל, ימינה לשדרות רוקח, שמאלה לדרך נמיר והמשך מסלול. תחנות מבוטלות: 21497 - מכון הנפט/חיים לבנון 25077 - מוזאון ארץ ישראל/חיים לבנון 25071 - סמינר הקיבוצים/דרך נמיר בברכת נסיעה טובה ובטוחה, הנהלת קווים.","עקב עבודות תשתית ברחוב שלום בתל אביב, קיים שינוי במסלול הקווים 506 — שוהם, תל אביב יפו, 506 — תל אביב יפו, שוהם, 506 לכיוון תל אביב: מדרך נמיר ימינה לשדרות רוקח בין התאריכים 230326 — 230326 בין השעות 20:00 ועד 05:00"
קווים,scan-export,מודיעין עילית- זמני נסיעות שישי ושבת,—,20.03.26,20.03.26,https://www.kavim-t.com/passenger-information/traffic-updates/hashmonaim-updates/19032026,"נוסעים נכבדים,מצ""ב זמני נסיעות ליום שישי ומוצ''ש, ב'- ג' בניסן תשפ""ו 20-21.03.2026 לקווים: 133/200/209/210/220/230/240/300/310/320/330/340/304/308בברכת נסיעה טובה ובטוחה,הנהלת קווים.","עקב שינוי תנועה ברחוב במודיעין, קיים שינוי במסלול קווים נבחרים בין השעות ועד ביום שישי, 20 במרץ ועד יום שבת, 21 במרץ"
